full_address,incident_id,start_time,end_time,min_flood_depth,max_flood_depth,avg_flood_depth,area_sqm,county,town,vil
新竹市香山區港南里,3742,2021-04-14 16:50:00,2021-04-14 16:56:00,7.0,21.2,14.1,5991316.845715554,新竹市,香山區,港南里
新竹市香山區牛埔里,3751,2021-04-16 13:40:00,2021-04-16 14:21:00,20.1,20.6,20.35,1963058.224638687,新竹市,香山區,牛埔里
新竹市香山區牛埔里,3752,2022-04-23 17:06:00,2022-04-23 17:11:00,9.1,11.7,10.399999999999999,1963058.224638687,新竹市,香山區,牛埔里
新竹市香山區牛埔里,3753,2022-10-24 13:25:00,2022-10-24 13:25:00,20.2,20.2,20.2,1963058.224638687,新竹市,香山區,牛埔里
新竹市香山區美山里,3772,2021-04-16 15:07:00,2021-04-16 15:07:00,20.8,20.8,20.8,4595562.086613523,新竹市,香山區,美山里
新竹市香山區虎山里,3783,2021-04-17 10:47:00,2021-04-17 11:41:00,11.4,21.0,16.883333333333333,1618945.2329677467,新竹市,香山區,虎山里
新竹市香山區頂埔里,3784,2021-04-16 12:58:00,2021-04-16 12:58:00,20.7,20.7,20.7,358547.34408323886,新竹市,香山區,頂埔里
新竹市香山區香山里,3792,2021-04-16 14:04:00,2021-04-16 14:04:00,20.5,20.5,20.5,752924.1794495417,新竹市,香山區,香山里
桃園市中壢區中堅里,3838,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,1037809.0332767223,桃園市,中壢區,中堅里
桃園市中壢區中堅里,3836,2022-05-23 17:00:00,2022-05-23 17:00:00,93.0,93.0,93.0,1037809.0332767223,桃園市,中壢區,中堅里
桃園市中壢區中央里,3896,2022-05-23 17:00:00,2022-05-23 17:00:00,76.0,76.0,76.0,366262.2895910453,桃園市,中壢區,中央里
桃園市中壢區中央里,3906,2022-08-28 14:05:00,2022-08-28 15:50:00,1.0,28.0,12.444444444444445,366262.2895910453,桃園市,中壢區,中央里
桃園市中壢區中榮里,3975,2021-08-07 05:05:00,2021-08-07 05:20:00,9.0,17.0,12.5,150811.80980741585,桃園市,中壢區,中榮里
桃園市中壢區中榮里,3983,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,150811.80980741585,桃園市,中壢區,中榮里
桃園市中壢區仁德里,4033,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,168228.25948401293,桃園市,中壢區,仁德里
桃園市中壢區仁福里,4118,2022-05-23 17:00:00,2022-05-23 17:00:00,91.0,91.0,91.0,419484.319325721,桃園市,中壢區,仁福里
桃園市中壢區仁福里,4120,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,419484.319325721,桃園市,中壢區,仁福里
桃園市中壢區健行里,4222,2022-05-23 17:00:00,2022-05-23 17:00:00,90.0,90.0,90.0,202507.880983252,桃園市,中壢區,健行里
