station_id,ciOrgname,ciCategory,Organize_Name,CategoryInfos_Name,PQ_id,PQ_name,PQ_fullname,PQ_description,PQ_unit,timestamp,value
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 06:30:00,1896.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 06:40:00,1896.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 06:50:00,1896.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 07:00:00,1896.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 07:10:00,1896.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 07:20:00,1896.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 07:30:00,1896.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 07:40:00,1896.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 07:50:00,1896.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 08:00:00,1896.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 08:10:00,1896.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 08:20:00,1896.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 08:30:00,1896.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:10:00,0.0
