full_address,incident_id,start_time,end_time,min_flood_depth,max_flood_depth,avg_flood_depth,area_sqm,estimated_damage,estimated_damage_adjusted
桃園市中壢區金華里,7106,2022-05-23 17:00:00,2022-05-23 17:00:00,52.0,52.0,52.0,126065.08572068288,15051868.678843807,679015210.9548497
桃園市中壢區龍安里,7185,2022-05-23 17:00:00,2022-05-23 17:00:00,48.0,92.0,70.0,182555.54703845855,25045890.83148836,1129862425.0156257
桃園市中壢區龍安里,7186,2022-06-28 11:15:00,2022-06-28 11:15:00,86.0,86.0,86.0,182555.54703845855,27934065.630074408,1260152866.8192296
桃園市中壢區龍岡里,7391,2022-05-23 17:00:00,2022-05-23 17:00:00,95.0,95.0,95.0,1486248.5291681164,240647416.84878471,10856011303.565855
桃園市中壢區龍慈里,7511,2022-05-23 17:00:00,2022-05-23 17:00:00,93.0,93.0,93.0,484845.56066892995,77545423.2204916,3498204975.7485533
桃園市中壢區龍興里,7586,2022-05-23 17:00:00,2022-05-23 17:00:00,90.0,90.0,90.0,550975.2811625052,86487691.83464077,3901605811.8178887
桃園市八德區大強里,7811,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,1127589.4693819983,188149578.86108026,8487745190.136486
桃園市八德區大興里,8055,2022-05-23 17:00:00,2022-05-23 17:00:00,94.0,94.0,94.0,1673457.3232209026,269304801.34543484,12148794305.76926
桃園市八德區大興里,8063,2022-06-28 11:15:00,2022-06-28 11:15:00,97.0,97.0,97.0,1673457.3232209026,274268945.1490373,12372735214.631369
桃園市八德區白鷺里,8120,2022-05-23 17:00:00,2022-05-23 17:00:00,93.0,93.0,93.0,3525553.608711356,563871403.2915205,25437191090.80144
桃園市八德區福德里,8239,2022-06-28 11:15:00,2022-06-28 11:15:00,99.0,99.0,99.0,1271783.936979607,210952327.7675318,9516415695.402548
桃園市八德區福德里,8237,2022-05-23 17:00:00,2022-05-23 17:00:00,95.0,95.0,95.0,1271783.936979607,205922167.93999004,9289496692.233484
桃園市大園區橫峰里,8686,2022-05-23 17:00:00,2022-05-23 17:00:00,89.0,89.0,89.0,4636503.404393972,723216637.8282659,32625523672.76822
桃園市大園區橫峰里,8694,2022-06-28 11:15:00,2022-06-28 11:15:00,99.0,99.0,99.0,4636503.404393972,769062383.4909135,34693702669.45717
桃園市大溪區南興里,8750,2020-11-02 02:05:00,2020-11-02 18:40:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8751,2020-11-03 00:00:00,2020-11-04 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8752,2020-11-04 07:40:00,2020-11-05 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8753,2020-11-05 05:35:00,2020-11-06 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8754,2020-11-06 04:25:00,2020-11-08 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8755,2020-11-08 07:55:00,2020-11-09 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8756,2020-11-09 04:00:00,2020-11-10 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8757,2020-11-10 06:15:00,2020-11-11 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
